hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 0.00000, 2509.2, -30.0566, 2509.33, -150.058, 2509.16, 89.939, 254.281, -48.3029, 252.464, -168.202, 279.999, 71.7583
0, 0.00000, 2509.33, -30.0469, 2509.72, -150.047, 2509.41, 89.9441, 219.482, -48.3196, 189.17, -168.197, 261.137, 71.7986
0, 0.00000, 2509.59, -30.0427, 2509.8, -150.039, 2509.77, 89.9556, 201.79, -48.2766, 165.345, -168.23, 197.059, 71.8051
0, 0.00000, 2509.62, -30.0423, 2509.78, -150.041, 2509.71, 89.9555, 195.826, -48.2725, 174.496, -168.221, 200.384, 71.7882
0, 0.00000, 2509.77, -30.0402, 2509.79, -150.039, 2509.82, 89.9605, 182.719, -48.2519, 173.476, -168.224, 174.405, 71.7776
0, 0.00000, 2509.74, -30.0381, 2509.91, -150.036, 2509.86, 89.9601, 177.629, -48.268, 152.66, -168.225, 178.884, 71.8013
0, 0.00000, 2509.77, -30.0341, 2510.05, -150.035, 2509.78, 89.9584, 158.275, -48.2955, 141.174, -168.204, 196.139, 71.8114
0, 0.00000, 2509.67, -30.0352, 2510.06, -150.037, 2509.68, 89.9545, 164.569, -48.3238, 142.414, -168.196, 218.024, 71.833
0, 0.00000, 2509.92, -30.0339, 2509.97, -150.035, 2509.87, 89.9637, 150.856, -48.2623, 154.727, -168.213, 166.986, 71.7894
0, 0.00000, 2509.89, -30.0351, 2509.96, -150.033, 2509.97, 89.9648, 161.337, -48.2541, 146.143, -168.226, 156.186, 71.798
0, 0.00000, 2509.42, -30.0353, 2510.17, -150.04, 2509.37, 89.9428, 168.191, -48.3973, 137.847, -168.16, 287.766, 71.8924
0, 0.00000, 2509.3, -30.0472, 2509.83, -150.036, 2509.8, 89.9496, 239.37, -48.3106, 140.708, -168.246, 218.548, 71.8692
0, 0.00000, 2507.96, -30.0957, 2508.82, -150.035, 2510.32, 89.9347, 533.135, -48.2505, 149.916, -168.49, 195.231, 72.0241
0, 0.00000, 2508.31, -30.0848, 2508.88, -150.05, 2509.67, 89.9306, 441.354, -48.2636, 216.226, -168.404, 257.512, 71.9371
0, 0.00000, 2506.86, -30.1256, 2507.81, -150.094, 2508.19, 89.8787, 628.651, -48.3867, 390.213, -168.406, 505.687, 71.9224
0, 0.00000, 2507.8, -30.118, 2507.27, -150.121, 2507.62, 89.8925, 512.662, -48.3018, 566.737, -168.314, 470.884, 71.7121
