hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 0.00000, 239.631, -30.1944, 239.705, -150.118, 239.909, 89.8515, 0, 0, 97.7306, 131.82, 53.1605, 11.4491, 52.8325, -107.688, 44.046, -48.6227
0, 0.00000, 239.655, -30.1721, 239.777, -150.112, 239.884, 89.8479, 0, 0, 86.782, 131.706, 47.0156, 11.5192, 59.023, -107.599, 34.5262, -31.262
0, 0.00000, 239.67, -30.1897, 239.683, -150.135, 239.862, 89.853, 0, 0, 91.3264, 131.938, 62.3676, 11.4936, 54.7871, -107.946, 32.86, -59.2531
0, 0.00000, 239.738, -30.1328, 239.868, -150.112, 239.834, 89.8527, 0, 0, 64.4837, 131.541, 43.9574, 11.7528, 64.6349, -107.751, 19.911, 12.5872
0, 0.00000, 239.783, -30.1145, 239.905, -150.112, 239.81, 89.8567, 0, 0, 53.7219, 131.517, 43.4208, 11.8346, 66.4593, -107.886, 19.5485, 46.2345
0, 0.00000, 239.86, -30.0979, 239.919, -150.111, 239.824, 89.8764, 0, 0, 42.8286, 131.587, 45.2635, 11.9044, 58.8885, -108.051, 14.813, 80.735
0, 0.00000, 239.814, -30.0999, 239.952, -150.099, 239.841, 89.8667, 0, 0, 47.512, 131.457, 36.5117, 11.8957, 62.6419, -107.855, 22.2479, 47.8348
0, 0.00000, 239.884, -30.0945, 239.928, -150.099, 239.877, 89.891, 0, 0, 42.235, 131.597, 41.1111, 11.8838, 50.2068, -107.967, 8.38281, 66.8464
0, 0.00000, 239.891, -30.1042, 239.903, -150.082, 239.972, 89.9117, 0, 0, 49.355, 131.801, 36.9577, 11.6748, 34.9579, -107.937, 13.3069, -55.8503
0, 0.00000, 239.927, -30.1091, 239.843, -150.104, 239.932, 89.916, 0, 0, 46.8688, 131.848, 50.9409, 11.7039, 33.5915, -108.018, 15.6389, -121.721
0, 0.00000, 239.889, -30.0965, 239.954, -150.059, 240.032, 89.9196, 0, 0, 49.228, 131.863, 24.7744, 11.5522, 30.0385, -107.822, 22.0358, -36.2378
0, 0.00000, 239.914, -30.089, 239.97, -150.054, 240.046, 89.9269, 0, 0, 45.3852, 131.863, 22.9672, 11.5881, 27.092, -107.888, 20.4722, -38.0975
0, 0.00000, 239.93, -30.0801, 240.002, -150.043, 240.07, 89.9333, 0, 0, 42.132, 131.818, 17.4386, 11.6044, 24.3435, -107.886, 21.8996, -32.4188
0, 0.00000, 239.952, -30.0713, 240.019, -150.044, 240.059, 89.9354, 0, 0, 36.8609, 131.791, 17.3922, 11.6541, 25.1516, -107.967, 16.8452, -24.8196
0, 0.00000, 239.962, -30.0664, 240.031, -150.044, 240.053, 89.936, 0, 0, 34.0423, 131.778, 17.013, 11.6834, 25.8747, -107.997, 14.637, -16.7688
0, 0.00000, 239.994, -30.06, 240.047, -150.029, 240.109, 89.9527, 0, 0, 31.9424, 131.807, 12.0293, 11.6603, 16.4921, -107.988, 18.0202, -35.8544
0, 0.00000, 240.045, -30.05, 240.039, -150.043, 240.069, 89.9576, 0, 0, 22.9284, 131.798, 19.7737, 11.7905, 17.1486, -108.125, 4.99726, -75.3949
0, 0.00000, 240.046, -30.044, 240.07, -150.032, 240.091, 89.9601, 0, 0, 21.6633, 131.769, 13.6331, 11.7737, 16.0288, -108.08, 7.09993, -31.4239
0, 0.00000, 240.046, -30.0439, 240.065, -150.039, 240.066, 89.9556, 0, 0, 20.5487, 131.74, 16.4709, 11.8007, 19.1883, -108.07, 3.53918, -7.46055
