hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 0.00000, 5.7222, 2.75682, 5.13511, 1.39409, 6.60995, 1.56481, 0, 0
0, 0.00000, 3.91702, 2.28321, 3.90104, 0.605422, 5.36221, 1.42837, 0, 0
0, 0.00000, 3.75403, 1.86362, 3.75858, 0.798448, 4.67886, 1.33374, 0, 0
0, 0.00000, 4.11413, 1.93969, 3.21695, 1.13536, 4.36318, 0.75972, 0, 0
0, 0.00000, 3.64663, 1.78159, 2.89063, 0.955901, 3.98452, 0.713259, 0, 0
0, 0.00000, 2.81331, 1.47733, 2.44215, 0.623273, 3.36772, 0.728187, 0, 0
0, 0.00000, 3.04519, 1.33898, 2.65117, 0.850202, 3.27184, 0.752966, 0, 0
0, 0.00000, 2.65113, 1.40181, 2.18431, 0.604962, 3.10821, 0.598528, 0, 0
0, 0.00000, 2.81707, 1.17407, 2.54475, 0.811196, 2.9954, 0.756525, 0, 0
0, 0.00000, 2.56852, 1.45934, 2.25875, 0.486968, 3.25603, 0.704157, 0, 0
0, 0.00000, 2.49655, 1.47775, 2.46874, 0.375524, 3.43729, 0.901667, 0, 0
0, 0.00000, 2.26094, 1.20975, 2.45666, 0.381483, 3.076, 0.964485, 0, 0
0, 0.00000, 2.34329, 1.24966, 2.58082, 0.390832, 3.20568, 1.02528, 0, 0
0, 0.00000, 3.07137, 1.12986, 3.83966, 0.760877, 3.77431, 1.61029, 0, 0
0, 0.00000, 2.69717, 1.29661, 3.53352, 0.427227, 3.86751, 1.58532, 0, 0
0, 0.00000, 3.59687, 1.85307, 3.86149, 0.663143, 4.75948, 1.48587, 0, 0
0, 0.00000, 3.85569, 2.02307, 4.04233, 0.705124, 5.09027, 1.52408, 0, 0
0, 0.00000, 5.6387, 3.10334, 7.52268, 0.578146, 8.76401, 3.46675, 0, 0
0, 0.00000, 6.57476, 3.25791, 7.91221, 1.10246, 9.10749, 3.33338, 0, 0
0, 0.00000, 7.03265, 2.15624, 6.99934, 2.40523, 6.80039, 2.2524, 0, 0
0, 0.00000, 4.13678, 3.5422, 4.93309, 1.17947, 6.58069, 3.04652, 0, 0
0, 0.00000, 5.8691, 2.42036, 3.30224, 4.22057, 3.0291, 1.1008, 0, 0
0, 0.00000, 4.26669, 4.31433, 4.79323, 1.57424, 6.90339, 3.39562, 0, 0
0, 0.00000, 0.358373, 4.23153, 1.72459, 1.08653, 3.76629, 3.83903, 0, 0
0, 0.00000, -2.23915, 3.5472, -0.387345, 1.95607, 0.0662025, 4.35364, 0, 0
0, 0.00000, 1.98669, 3.46838, -0.178715, 2.98703, 1.32212, 1.35354, 0, 0
0, 0.00000, 3.62301, 2.74273, 6.42183, 1.08023, 6.45821, 4.33162, 0, 0
0, 0.00000, 4.251, 2.50034, 3.44175, 2.60398, 3.75752, 1.85175, 0, 0
0, 0.00000, 5.36893, 2.68034, 4.06762, 3.3861, 4.10856, 1.90774, 0, 0
0, 0.00000, 8.97015, 3.97814, 8.58884, 3.19623, 9.4579, 3.25504, 0, 0
0, 0.00000, 8.22232, 4.24208, 7.63724, 1.75023, 10.0897, 2.48338, 0, 0
0, 0.00000, 15.485, 6.55477, 11.0278, 4.96547, 14.6507, 1.89499, 0, 0
0, 0.00000, 13.0238, 7.14075, 10.6005, 2.77705, 15.6015, 2.84456, 0, 0
0, 0.00000, 14.8525, 9.91966, 12.0913, 1.91446, 20.4197, 3.49034, 0, 0
0, 0.00000, 16.2482, 8.58479, 12.0311, 3.93883, 18.1834, 2.5903, 0, 0
0, 0.00000, 14.3841, 7.64173, 12.309, 3.09922, 17.2906, 3.55482, 0, 0
0, 0.00000, 16.9252, 7.64445, 13.1519, 4.86144, 17.4668, 2.97369, 0, 0
0, 0.00000, 11.8908, 5.42523, 12.8112, 2.61984, 14.7778, 4.80875, 0, 0
0, 0.00000, 10.8256, 4.32245, 13.0196, 2.52535, 13.4716, 5.31705, 0, 0
0, 0.00000, 10.0793, 3.13044, 12.1749, 2.95687, 11.2708, 4.85752, 0, 0
0, 0.00000, 9.31215, 3.87868, 11.8673, 1.91927, 12.2789, 5.10499, 0, 0
0, 0.00000, 9.46282, 3.1908, 10.6104, 2.77459, 10.3938, 3.97506, 0, 0
0, 0.00000, 9.57638, 4.04855, 8.14511, 2.80367, 9.94286, 2.18358, 0, 0
0, 0.00000, 11.2476, 3.38751, 9.25197, 4.29104, 9.47283, 2.11398, 0, 0
0, 0.00000, 7.91821, 4.38351, 6.34865, 1.68579, 9.47372, 1.66949, 0, 0
0, 0.00000, 7.31715, 4.03674, 5.78572, 1.58851, 8.67522, 1.48149, 0, 0
0, 0.00000, 6.2621, 3.8596, 4.90511, 1.09612, 7.97969, 1.29779, 0, 0
