hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 0.00000, 5.47739, 0.385496, 6.86314, 2.45587, 4.37482, 2.62393, 0, 0
0, 0.00000, 4.30067, 1.18516, 4.29643, 1.56538, 3.96925, 1.37205, 0, 0
0, 0.00000, 4.52618, 1.53048, 4.68015, 1.4216, 4.69726, 1.60922, 0, 0
0, 0.00000, 7.88838, 2.26623, 7.88742, 2.80279, 7.42313, 2.53487, 0, 0
0, 0.00000, 6.33979, 2.4395, 8.02935, 1.47645, 8.01514, 3.41886, 0, 0
0, 0.00000, 10.3148, 1.7792, 10.1247, 4.4982, 7.86502, 2.98142, 0, 0
0, 0.00000, 5.79548, 2.0229, 5.5874, 1.86013, 5.83277, 1.76107, 0, 0
0, 0.00000, 13.7834, 8.40034, 9.14454, 2.75405, 16.3727, 1.53976, 0, 0
0, 0.00000, 9.96973, 5.39367, 6.66756, 2.49265, 10.8402, 1.07638, 0, 0
0, 0.00000, 6.74722, 3.98188, 4.28065, 1.517, 7.6533, 0.609243, 0, 0
0, 0.00000, 5.95025, 1.52907, 7.2938, 1.95548, 6.25018, 2.90644, 0, 0
0, 0.00000, 5.23675, 1.19198, 6.37642, 1.83299, 5.24954, 2.50037, 0, 0
0, 0.00000, 5.89082, 1.99545, 4.9136, 2.09209, 5.32001, 1.19772, 0, 0
0, 0.00000, 5.34174, 1.77899, 6.06173, 1.58176, 5.87137, 2.30349, 0, 0
0, 0.00000, 7.05103, 0.237864, 8.04667, 3.50113, 4.72045, 2.7378, 0, 0
0, 0.00000, 4.35619, 0.963589, 4.94734, 1.62096, 4.08165, 1.80501, 0, 0
0, 0.00000, 5.17973, 1.20232, 4.95494, 2.08315, 4.30473, 1.4493, 0, 0
0, 0.00000, 7.56073, 0.499619, 6.90439, 3.95555, 4.24036, 1.66544, 0, 0
0, 0.00000, 9.29289, 1.36647, 8.05128, 4.44107, 6.01167, 1.83556, 0, 0
0, 0.00000, 11.2126, 4.60442, 7.67086, 3.77461, 10.1704, 1.12064, 0, 0
0, 0.00000, 10.3304, 4.96404, 7.22276, 2.94976, 10.5298, 1.26074, 0, 0
0, 0.00000, 10.7832, 4.37377, 8.20725, 3.48649, 10.271, 1.69728, 0, 0
0, 0.00000, 12.2496, 4.78071, 10.5293, 3.83508, 12.2143, 2.81532, 0, 0
0, 0.00000, 10.5924, 3.40578, 9.42949, 3.74954, 9.71648, 2.57174, 0, 0
0, 0.00000, 10.4145, 3.22892, 10.4004, 3.52957, 10.1471, 3.36791, 0, 0
0, 0.00000, 11.3216, 1.98992, 11.4867, 4.82624, 8.94666, 3.55965, 0, 0
0, 0.00000, 9.30229, 2.5368, 12.4522, 2.7216, 10.7074, 5.35701, 0, 0
0, 0.00000, 8.85367, 2.40378, 11.0199, 2.77584, 9.60838, 4.46643, 0, 0
0, 0.00000, 9.61533, 1.88499, 11.152, 3.67955, 8.82481, 4.11782, 0, 0
0, 0.00000, 10.5153, 3.96911, 11.3307, 2.90438, 11.8427, 4.13925, 0, 0
0, 0.00000, 12.2634, 4.41677, 10.0949, 4.17795, 11.393, 2.41908, 0, 0
0, 0.00000, 8.42481, 2.55184, 7.96364, 2.99564, 7.81087, 2.37546, 0, 0
0, 0.00000, 9.03058, 5.29073, 5.98312, 1.9967, 10.3675, 0.997064, 0, 0
0, 0.00000, 6.29917, 2.41132, 5.28783, 2.04077, 6.11616, 1.34969, 0, 0
0, 0.00000, 3.83928, 1.46417, 4.00652, 1.08602, 4.25023, 1.41949, 0, 0
0, 0.00000, 3.31702, 1.11737, 3.31356, 1.07053, 3.35585, 1.09091, 0, 0
0, 0.00000, 3.28183, 1.02952, 3.17203, 1.13312, 3.13731, 0.986332, 0, 0
0, 0.00000, 3.07447, 0.987787, 2.891, 1.06264, 2.91806, 0.866401, 0, 0
0, 0.00000, 2.92583, 0.891828, 2.88104, 1.01701, 2.79506, 0.91573, 0, 0
0, 0.00000, 3.22563, 0.942856, 2.92942, 1.20021, 2.85488, 0.815251, 0, 0
0, 0.00000, 3.27353, 0.888092, 2.91048, 1.27781, 2.75478, 0.768891, 0, 0
0, 0.00000, 2.96477, 0.847099, 2.8004, 1.09408, 2.66881, 0.828448, 0, 0
0, 0.00000, 3.19135, 1.01316, 2.79725, 1.15389, 2.87275, 0.742369, 0, 0
0, 0.00000, 3.3003, 0.831957, 3.0052, 1.31662, 2.73324, 0.819157, 0, 0
0, 0.00000, 2.933, 0.88246, 2.65779, 1.07568, 2.62827, 0.740898, 0, 0
0, 0.00000, 3.48484, 1.35242, 3.13595, 1.07469, 3.55127, 0.911173, 0, 0
0, 0.00000, 3.99623, 1.71468, 3.74262, 1.0885, 4.41206, 1.18125, 0, 0
0, 0.00000, 5.11264, 0.985223, 4.89438, 2.19162, 3.95892, 1.40103, 0, 0
0, 0.00000, 5.00829, 2.26569, 4.15564, 1.39675, 5.33576, 1.09168, 0, 0
0, 0.00000, 4.47906, 1.50389, 4.03193, 1.54016, 4.22463, 1.13488, 0, 0
0, 0.00000, 4.43911, 1.35537, 3.89887, 1.63892, 3.92403, 1.02966, 0, 0
0, 0.00000, 6.29474, 2.80724, 4.51725, 1.92879, 6.16974, 0.827443, 0, 0
0, 0.00000, 7.03081, 1.47029, 5.87254, 3.1151, 5.02901, 1.29256, 0, 0
0, 0.00000, 6.83196, 2.05522, 6.77706, 2.37661, 6.52624, 2.16899, 0, 0
0, 0.00000, 6.72805, 1.57325, 8.75875, 2.20882, 7.18848, 3.65073, 0, 0
0, 0.00000, 7.28583, 0.730625, 9.75156, 2.99154, 6.55475, 4.00117, 0, 0
0, 0.00000, 10.0762, 1.8233, 10.8068, 4.14589, 8.42757, 3.62372, 0, 0
0, 0.00000, 8.11398, 2.72113, 9.16783, 2.38978, 8.92528, 3.4671, 0, 0
0, 0.00000, 7.51905, 1.79247, 7.65419, 2.89138, 6.63449, 2.46123, 0, 0
0, 0.00000, 7.57198, 1.0649, 8.55126, 3.23405, 6.18065, 3.00203, 0, 0
0, 0.00000, 8.67517, 0.644092, 11.2414, 3.79038, 7.22625, 4.44732, 0, 0
0, 0.00000, 6.53709, 1.51829, 9.24623, 1.99334, 7.47415, 4.10263, 0, 0
0, 0.00000, 6.16147, 2.24687, 6.78652, 1.73274, 6.91813, 2.53005, 0, 0
0, 0.00000, 6.79571, 1.76852, 7.05376, 2.48457, 6.30402, 2.35137, 0, 0
0, 0.00000, 5.67246, 1.59332, 8.78653, 1.37902, 7.40861, 4.18213, 0, 0
0, 0.00000, 7.4318, 1.08039, 8.87032, 3.05, 6.44189, 3.31505, 0, 0
0, 0.00000, 9.10336, 2.23279, 10.9517, 3.09405, 9.27628, 4.26614, 0, 0
0, 0.00000, 11.2686, 1.76824, 11.8275, 4.86645, 8.86253, 3.81064, 0, 0
0, 0.00000, 8.88401, 2.403, 13.5939, 2.24658, 11.3592, 6.40214, 0, 0
0, 0.00000, 10.8388, 3.03112, 12.69, 3.49699, 11.3547, 4.86838, 0, 0
0, 0.00000, 12.208, 3.59551, 10.9723, 4.51737, 10.7956, 2.98957, 0, 0
0, 0.00000, 12.0498, 3.14471, 10.8073, 4.74056, 10.0501, 2.8719, 0, 0
0, 0.00000, 10.5706, 3.13603, 10.0522, 3.78589, 9.74993, 3.014, 0, 0
0, 0.00000, 9.12099, 2.4876, 9.54443, 3.23668, 8.68273, 3.23073, 0, 0
0, 0.00000, 10.2501, 3.58282, 10.2455, 3.19939, 10.5799, 3.386, 0, 0
0, 0.00000, 10.0844, 3.20564, 9.9191, 3.39875, 9.83494, 3.15964, 0, 0
0, 0.00000, 11.0414, 5.16626, 9.57216, 2.85597, 12.3127, 2.73172, 0, 0
0, 0.00000, 9.81947, 4.5017, 9.09111, 2.4845, 11.2048, 2.85666, 0, 0
0, 0.00000, 9.08564, 2.75775, 9.32247, 3.06999, 8.93297, 3.11975, 0, 0
0, 0.00000, 6.96476, 3.09822, 6.27665, 1.86873, 7.68703, 1.8852, 0, 0
0, 0.00000, 4.42228, 2.22861, 4.0123, 1.00585, 5.27688, 1.26061, 0, 0
0, 0.00000, 3.84074, 1.56711, 3.4094, 1.14191, 3.99379, 0.980539, 0, 0
0, 0.00000, 4.17822, 1.99626, 3.2711, 1.13423, 4.4723, 0.778742, 0, 0
0, 0.00000, 2.98473, 0.91934, 3.00643, 1.01692, 2.91105, 0.987, 0, 0
0, 0.00000, 3.30906, 0.55552, 3.05419, 1.50135, 2.36267, 0.808517, 0, 0
0, 0.00000, 3.15299, 0.499011, 2.82053, 1.46989, 2.14616, 0.697304, 0, 0
0, 0.00000, 2.68141, 0.546558, 2.49605, 1.1468, 2.069, 0.686577, 0, 0
0, 0.00000, 2.52434, 0.69595, 2.37827, 0.950202, 2.2312, 0.696752, 0, 0
0, 0.00000, 2.39511, 0.620639, 2.17157, 0.946477, 2.00128, 0.590178, 0, 0
0, 0.00000, 2.36219, 0.558034, 2.15504, 0.96752, 1.9041, 0.583647, 0, 0
0, 0.00000, 2.56956, 0.557252, 2.29062, 1.09746, 1.96241, 0.586159, 0, 0
0, 0.00000, 2.64728, 0.66631, 2.20508, 1.10024, 2.05065, 0.500625, 0, 0
0, 0.00000, 4.08678, 0.55678, 3.21422, 2.05503, 2.35369, 0.551685, 0, 0
0, 0.00000, 2.92995, 0.764291, 3.81851, 0.91033, 3.2469, 1.6069, 0, 0
0, 0.00000, 3.08405, 1.05406, 3.82649, 0.827305, 3.65092, 1.58337, 0, 0
0, 0.00000, 3.94658, 0.555639, 5.70193, 1.42809, 4.06631, 2.51301, 0, 0
0, 0.00000, 5.82689, 1.80972, 7.61301, 1.60222, 6.89621, 3.25214, 0, 0
0, 0.00000, 13.3659, 7.76997, 7.8723, 3.15964, 14.6317, 0.692617, 0, 0
0, 0.00000, 7.2989, 2.30402, 6.90872, 2.53291, 6.90634, 2.08108, 0, 0
0, 0.00000, 10.3728, 1.17942, 9.27859, 5.12171, 6.41361, 2.21293, 0, 0
0, 0.00000, 7.53745, 0.820398, 6.64331, 3.77616, 4.53183, 1.52932, 0, 0
0, 0.00000, 6.19822, 1.18683, 6.33394, 2.57645, 5.06223, 2.00151, 0, 0
0, 0.00000, 9.55514, 0.578289, 11.292, 4.48062, 7.03865, 4.04368, 0, 0
0, 0.00000, 9.82044, -0.169484, 11.1865, 5.211, 5.83933, 3.71735, 0, 0
