hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 0.00000, 2510.65, -30.0105, 2510.58, -150.016, 2510.44, 89.9865, 37.5129, -48.2, 72.0169, -168.211, 69.5775, 71.7924
0, 0.00000, 2510.65, -30.0088, 2510.67, -150.014, 2510.47, 89.9865, 33.2554, -48.1997, 57.0764, -168.209, 70.8471, 71.7926
0, 0.00000, 2510.7, -30.0078, 2510.69, -150.013, 2510.52, 89.9884, 27.7295, -48.1985, 54.5405, -168.207, 61.338, 71.7939
0, 0.00000, 2510.71, -30.0089, 2510.64, -150.013, 2510.55, 89.9893, 32.4409, -48.2002, 59.5244, -168.207, 54.0922, 71.7942
0, 0.00000, 2510.71, -30.0083, 2510.66, -150.013, 2510.53, 89.989, 29.6322, -48.1992, 57.3471, -168.207, 57.3536, 71.7936
0, 0.00000, 2510.71, -30.0075, 2510.7, -150.011, 2510.57, 89.9896, 28.0918, -48.1992, 48.5639, -168.206, 53.9117, 71.7947
0, 0.00000, 2510.78, -30.0084, 2510.62, -150.012, 2510.63, 89.9925, 28.9992, -48.1989, 59.5217, -168.206, 35.7926, 71.7962
0, 0.00000, 2510.75, -30.0088, 2510.64, -150.01, 2510.69, 89.9928, 34.9771, -48.1992, 50.5538, -168.206, 31.2635, 71.7975
0, 0.00000, 2510.76, -30.0084, 2510.63, -150.012, 2510.61, 89.9916, 29.5426, -48.1984, 58.434, -168.207, 41.0478, 71.7963
0, 0.00000, 2510.8, -30.0083, 2510.62, -150.011, 2510.67, 89.9935, 28.9988, -48.198, 57.4372, -168.207, 29.9041, 71.7975
0, 0.00000, 2510.78, -30.0085, 2510.62, -150.012, 2510.63, 89.9924, 30.0861, -48.1983, 58.701, -168.207, 35.9743, 71.796
0, 0.00000, 2510.83, -30.0104, 2510.47, -150.017, 2510.53, 89.9926, 28.4565, -48.1998, 91.756, -168.21, 35.7917, 71.7958
0, 0.00000, 2510.83, -30.0117, 2510.4, -150.019, 2510.48, 89.9922, 31.9008, -48.1974, 104.489, -168.212, 37.4219, 71.7922
0, 0.00000, 2510.74, -30.0172, 2510.16, -150.029, 2510.23, 89.9871, 47.4835, -48.2011, 151.51, -168.219, 63.321, 71.7833
0, 0.00000, 2510.84, -30.0156, 2510.15, -150.029, 2510.22, 89.989, 34.3504, -48.1968, 159.187, -168.22, 57.0663, 71.791
0, 0.00000, 2510.51, -30.017, 2510.25, -150.034, 2509.83, 89.9745, 45.7639, -48.208, 157.195, -168.213, 141.97, 71.7724
0, 0.00000, 2510.88, -30.038, 2508.89, -150.069, 2509.43, 89.9829, 80.3141, -48.2037, 394.997, -168.248, 80.8689, 71.7525
0, 0.00000, 2510.89, -30.0302, 2509.37, -150.049, 2509.97, 89.9901, 74.1394, -48.194, 287.432, -168.241, 36.8741, 71.7804
0, 0.00000, 2510.79, -30.0177, 2510.08, -150.031, 2510.19, 89.9879, 43.7758, -48.1963, 169.043, -168.224, 60.1504, 71.7913
0, 0.00000, 2511.02, -30.0227, 2509.62, -150.045, 2509.99, 89.9919, 38.6207, -48.1907, 260.151, -168.23, 39.5883, 71.7911
0, 0.00000, 2510.36, -30.0224, 2510.08, -150.04, 2509.67, 89.9693, 68.8551, -48.1963, 184.064, -168.233, 164.97, 71.782
0, 0.00000, 2510.58, -30.0173, 2510.3, -150.024, 2510.3, 89.9841, 61.8851, -48.2023, 116.884, -168.22, 75.5434, 71.7912
0, 0.00000, 2510.37, -30.0265, 2510.08, -150.023, 2510.44, 89.9831, 116.225, -48.2064, 122.383, -168.224, 60.3387, 71.7888
0, 0.00000, 2510.53, -30.0237, 2510.08, -150.025, 2510.43, 89.9863, 94.8426, -48.2081, 133.165, -168.222, 49.651, 71.7902
0, 0.00000, 2510.73, -30.0242, 2509.86, -150.032, 2510.3, 89.9898, 77.0112, -48.2022, 185.227, -168.227, 36.1504, 71.7918
0, 0.00000, 2510.65, -30.0227, 2510.02, -150.027, 2510.41, 89.9889, 81.6098, -48.2022, 150.06, -168.224, 39.0506, 71.7922
0, 0.00000, 2510.78, -30.0199, 2510.01, -150.031, 2510.26, 89.9893, 55.8226, -48.1942, 171.502, -168.227, 47.0144, 71.7938
0, 0.00000, 2510.75, -30.0154, 2510.28, -150.022, 2510.45, 89.9903, 49.3852, -48.1983, 117.438, -168.218, 42.3114, 71.794
0, 0.00000, 2510.56, -30.0192, 2510.29, -150.019, 2510.54, 89.9877, 80.5229, -48.2037, 98.0817, -168.218, 45.5765, 71.7923
0, 0.00000, 2510.64, -30.0144, 2510.44, -150.016, 2510.55, 89.9889, 57.1682, -48.2012, 81.7003, -168.214, 47.2979, 71.7936
0, 0.00000, 2510.64, -30.021, 2510.05, -150.03, 2510.21, 89.9852, 67.6855, -48.2016, 160.882, -168.224, 67.3094, 71.7879
0, 0.00000, 2510.66, -30.0223, 2510.02, -150.027, 2510.38, 89.9887, 78.185, -48.1975, 152.964, -168.228, 41.7695, 71.791
0, 0.00000, 2510.77, -30.0312, 2509.39, -150.051, 2509.82, 89.9847, 79.6554, -48.1986, 289.351, -168.242, 68.118, 71.7798
0, 0.00000, 2510.54, -30.0266, 2509.76, -150.045, 2509.73, 89.9761, 74.6587, -48.2073, 232.804, -168.233, 121.694, 71.771
0, 0.00000, 2509.96, -30.0601, 2508.63, -150.068, 2509.45, 89.9646, 226.947, -48.2229, 370.575, -168.266, 135.725, 71.7514
0, 0.00000, 2510.33, -30.0522, 2508.75, -150.063, 2509.68, 89.9759, 182.201, -48.2044, 359.198, -168.266, 83.4277, 71.7665
0, 0.00000, 2510.21, -30.038, 2509.35, -150.064, 2509.12, 89.9603, 113.591, -48.2132, 316.757, -168.252, 205.231, 71.761
0, 0.00000, 2509.59, -30.036, 2509.85, -150.06, 2508.74, 89.9372, 132.784, -48.2144, 241.513, -168.252, 338.589, 71.7495
0, 0.00000, 2510.5, -30.0302, 2509.53, -150.058, 2509.31, 89.969, 73.0404, -48.2064, 295.355, -168.24, 167.104, 71.7593
0, 0.00000, 2510.64, -30.0306, 2509.4, -150.061, 2509.34, 89.9733, 66.1612, -48.2061, 318.105, -168.24, 143.856, 71.7591
0, 0.00000, 2510.45, -30.0262, 2509.87, -150.042, 2509.77, 89.9742, 81.448, -48.2074, 209.296, -168.232, 130.768, 71.7719
0, 0.00000, 2510.7, -30.0366, 2509.09, -150.065, 2509.41, 89.9776, 87.0001, -48.2087, 358.107, -168.251, 110.03, 71.7652
0, 0.00000, 2510.74, -30.0322, 2509.3, -150.059, 2509.53, 89.9794, 73.4084, -48.2051, 323.391, -168.247, 103.695, 71.771
0, 0.00000, 2510.55, -30.0255, 2509.87, -150.038, 2509.98, 89.9802, 80.7291, -48.2049, 198.853, -168.23, 94.0219, 71.7771
0, 0.00000, 2510.59, -30.0235, 2509.95, -150.035, 2510.05, 89.9816, 73.7546, -48.2035, 185.149, -168.229, 87.7676, 71.7832
0, 0.00000, 2510.7, -30.0251, 2509.8, -150.037, 2510.12, 89.9861, 74.6653, -48.2001, 206.494, -168.232, 59.9715, 71.7865
0, 0.00000, 2510.73, -30.0173, 2510.2, -150.024, 2510.41, 89.9898, 56.092, -48.1999, 129.812, -168.219, 43.22, 71.7913
0, 0.00000, 2510.75, -30.0123, 2510.44, -150.018, 2510.49, 89.9903, 39.6009, -48.1993, 93.8176, -168.213, 45.8474, 71.794
0, 0.00000, 2510.75, -30.0105, 2510.54, -150.014, 2510.57, 89.9911, 36.6088, -48.1992, 73.1892, -168.21, 41.5912, 71.7948
0, 0.00000, 2510.75, -30.0098, 2510.57, -150.013, 2510.6, 89.9915, 34.7065, -48.1993, 66.3992, -168.208, 39.5982, 71.795
0, 0.00000, 2510.77, -30.009, 2510.6, -150.012, 2510.63, 89.9923, 31.6262, -48.1989, 61.6907, -168.207, 35.974, 71.7956
0, 0.00000, 2510.76, -30.0101, 2510.57, -150.012, 2510.67, 89.993, 38.3299, -48.1997, 62.323, -168.207, 29.179, 71.796
0, 0.00000, 2510.78, -30.0096, 2510.55, -150.014, 2510.59, 89.9922, 31.8988, -48.1988, 71.4701, -168.208, 36.7889, 71.7951
0, 0.00000, 2510.78, -30.0087, 2510.61, -150.011, 2510.66, 89.9931, 31.2638, -48.1987, 58.3407, -168.206, 31.3534, 71.7966
0, 0.00000, 2510.79, -30.0098, 2510.54, -150.014, 2510.6, 89.9927, 32.4428, -48.1989, 73.3674, -168.208, 33.3463, 71.7948
0, 0.00000, 2510.78, -30.0093, 2510.57, -150.013, 2510.59, 89.992, 31.4454, -48.1988, 68.2988, -168.208, 38.4199, 71.7946
0, 0.00000, 2510.81, -30.0103, 2510.51, -150.014, 2510.63, 89.9938, 33.9834, -48.1982, 75.5352, -168.209, 26.1888, 71.7958
0, 0.00000, 2510.82, -30.01, 2510.51, -150.015, 2510.6, 89.9934, 30.7218, -48.1975, 80.0637, -168.209, 29.9939, 71.7962
0, 0.00000, 2510.81, -30.01, 2510.52, -150.014, 2510.62, 89.9934, 32.2617, -48.1976, 75.6264, -168.209, 29.3598, 71.7958
0, 0.00000, 2510.77, -30.0112, 2510.52, -150.013, 2510.68, 89.9936, 42.6789, -48.1978, 68.659, -168.21, 23.7429, 71.7971
0, 0.00000, 2510.8, -30.0109, 2510.46, -150.018, 2510.5, 89.9916, 31.1756, -48.1976, 92.998, -168.211, 41.0459, 71.7929
0, 0.00000, 2510.74, -30.0146, 2510.34, -150.019, 2510.5, 89.9909, 49.5624, -48.2003, 104.853, -168.214, 38.6904, 71.7914
0, 0.00000, 2510.64, -30.013, 2510.46, -150.02, 2510.37, 89.9856, 45.1245, -48.2015, 92.8309, -168.213, 72.3766, 71.7903
0, 0.00000, 2510.7, -30.0147, 2510.37, -150.019, 2510.48, 89.9893, 51.7398, -48.2006, 100.508, -168.214, 47.385, 71.7925
0, 0.00000, 2510.57, -30.0273, 2509.83, -150.033, 2510.25, 89.9854, 97.3961, -48.207, 182.965, -168.229, 55.1726, 71.7837
0, 0.00000, 2510.42, -30.0277, 2509.92, -150.032, 2510.18, 89.9804, 106.144, -48.2084, 168.162, -168.228, 81.8024, 71.7808
0, 0.00000, 2510.59, -30.0291, 2509.72, -150.037, 2510.17, 89.9851, 99.0019, -48.2042, 206.632, -168.232, 56.443, 71.7802
0, 0.00000, 2510.89, -30.0219, 2509.75, -150.042, 2509.96, 89.9878, 43.0549, -48.1987, 236.627, -168.23, 62.5925, 71.7786
0, 0.00000, 2510.82, -30.026, 2509.62, -150.045, 2509.93, 89.9864, 62.3572, -48.1988, 252.726, -168.23, 63.6822, 71.7757
0, 0.00000, 2510.44, -30.033, 2509.55, -150.049, 2509.71, 89.9745, 105.004, -48.214, 256.099, -168.233, 120.392, 71.765
0, 0.00000, 2510.24, -30.027, 2509.78, -150.061, 2508.92, 89.9551, 62.1681, -48.2131, 277.367, -168.23, 256.837, 71.7506
0, 0.00000, 2510.57, -30.0283, 2509.61, -150.053, 2509.52, 89.9738, 69.6023, -48.2066, 272.919, -168.228, 138.753, 71.7586
0, 0.00000, 2510.09, -30.0366, 2509.45, -150.067, 2508.86, 89.9525, 106.078, -48.2148, 315.998, -168.249, 256.197, 71.75
0, 0.00000, 2510.22, -30.0313, 2509.76, -150.047, 2509.57, 89.9662, 107.317, -48.2144, 226.065, -168.233, 169.799, 71.7631
0, 0.00000, 2510.39, -30.0272, 2509.9, -150.038, 2509.92, 89.9753, 95.1856, -48.2072, 188.992, -168.23, 118.091, 71.7754
0, 0.00000, 2510.63, -30.0202, 2510.1, -150.029, 2510.21, 89.9846, 65.4113, -48.2004, 153.572, -168.224, 71.9241, 71.788
0, 0.00000, 2510.55, -30.0166, 2510.34, -150.023, 2510.28, 89.9827, 60.6095, -48.2015, 110.555, -168.219, 84.4184, 71.7892
0, 0.00000, 2510.56, -30.0188, 2510.25, -150.024, 2510.33, 89.9843, 70.1112, -48.2043, 120.226, -168.217, 71.2055, 71.7851
0, 0.00000, 2510.55, -30.0156, 2510.43, -150.018, 2510.43, 89.9849, 63.2305, -48.2047, 87.2209, -168.213, 69.3956, 71.7886
0, 0.00000, 2510.47, -30.0188, 2510.3, -150.025, 2510.23, 89.9803, 71.7475, -48.2061, 116.177, -168.218, 94.926, 71.7825
0, 0.00000, 2510.31, -30.0237, 2510.14, -150.033, 2509.95, 89.9729, 89.2233, -48.21, 149.928, -168.225, 134.274, 71.7749
0, 0.00000, 2510.2, -30.0309, 2509.97, -150.028, 2510.27, 89.9769, 137.381, -48.2137, 138.702, -168.23, 90.7641, 71.7825
0, 0.00000, 2509.43, -30.0536, 2509.55, -150.032, 2510.25, 89.962, 273.684, -48.2325, 149.778, -168.246, 129.605, 71.7729
0, 0.00000, 2509.19, -30.0529, 2509.75, -150.03, 2510.13, 89.9536, 282.428, -48.2273, 117.894, -168.26, 177.047, 71.7681
0, 0.00000, 2510.38, -30.0363, 2509.53, -150.042, 2510.05, 89.9792, 135.656, -48.2084, 228.046, -168.24, 78.9925, 71.7801
0, 0.00000, 2510.19, -30.0358, 2509.73, -150.035, 2510.16, 89.9762, 151.419, -48.2107, 180.641, -168.235, 90.115, 71.7827
0, 0.00000, 2510.43, -30.0325, 2509.55, -150.051, 2509.61, 89.9725, 99.185, -48.2113, 263.749, -168.242, 134.779, 71.7798
0, 0.00000, 2510.26, -30.0266, 2509.95, -150.044, 2509.55, 89.9657, 87.1407, -48.2082, 204.17, -168.236, 180.752, 71.7805
0, 0.00000, 2510.35, -30.0293, 2509.74, -150.049, 2509.52, 89.9682, 89.0579, -48.2065, 240.256, -168.241, 164.854, 71.7805
0, 0.00000, 2509.67, -30.0509, 2509.46, -150.037, 2510.16, 89.9662, 242.685, -48.2293, 184.856, -168.239, 116.381, 71.773
0, 0.00000, 2510.09, -30.0291, 2510.02, -150.038, 2509.76, 89.9651, 116.658, -48.2155, 167.157, -168.23, 171.762, 71.77
0, 0.00000, 2510.43, -30.0261, 2509.92, -150.038, 2509.93, 89.9763, 88.9614, -48.2081, 187.995, -168.232, 114.209, 71.7771
0, 0.00000, 2510.5, -30.0319, 2509.64, -150.04, 2510.06, 89.9814, 111.502, -48.2086, 220.108, -168.236, 74.463, 71.7783
0, 0.00000, 2510.64, -30.0266, 2509.78, -150.037, 2510.13, 89.9852, 84.8042, -48.2052, 204.867, -168.232, 61.6011, 71.7841
0, 0.00000, 2510.55, -30.0268, 2509.83, -150.036, 2510.1, 89.9824, 90.3195, -48.2058, 193.998, -168.231, 76.6361, 71.7824
0, 0.00000, 2510.54, -30.0174, 2510.31, -150.024, 2510.27, 89.9825, 63.3217, -48.2031, 115.086, -168.218, 85.0619, 71.7866
0, 0.00000, 2510.34, -30.0163, 2510.45, -150.027, 2509.94, 89.9716, 59.8778, -48.2034, 110.196, -168.221, 153.333, 71.7849
0, 0.00000, 2510.33, -30.0135, 2510.58, -150.025, 2509.93, 89.9706, 49.0111, -48.2027, 93.4736, -168.219, 163.634, 71.7855
0, 0.00000, 2510.32, -30.0132, 2510.62, -150.023, 2509.99, 89.9711, 51.9977, -48.2026, 82.1548, -168.218, 158.843, 71.7863
0, 0.00000, 2510.6, -30.0133, 2510.51, -150.016, 2510.49, 89.9866, 53.8144, -48.2024, 74.2793, -168.212, 62.5149, 71.7923
0, 0.00000, 2510.62, -30.0125, 2510.52, -150.017, 2510.44, 89.9862, 47.5659, -48.2012, 78.7153, -168.212, 67.4953, 71.7918
0, 0.00000, 2510.59, -30.0123, 2510.54, -150.017, 2510.41, 89.9849, 46.6599, -48.2013, 76.8124, -168.212, 76.1892, 71.7907
0, 0.00000, 2510.58, -30.0123, 2510.56, -150.016, 2510.43, 89.985, 48.8335, -48.2019, 71.5631, -168.212, 74.5593, 71.7912
0, 0.00000, 2510.64, -30.0113, 2510.55, -150.017, 2510.4, 89.9858, 39.6869, -48.1999, 78.7139, -168.212, 73.1091, 71.7915
0, 0.00000, 2510.59, -30.0107, 2510.61, -150.016, 2510.41, 89.9846, 41.3161, -48.2006, 66.9476, -168.211, 79.9004, 71.7913
0, 0.00000, 2510.68, -30.012, 2510.52, -150.015, 2510.52, 89.9888, 44.9407, -48.2005, 75.454, -168.211, 52.3706, 71.7938
0, 0.00000, 2510.73, -30.0109, 2510.55, -150.013, 2510.63, 89.9918, 41.4085, -48.2003, 66.8564, -168.209, 35.5213, 71.7958
0, 0.00000, 2510.73, -30.0113, 2510.53, -150.014, 2510.61, 89.9914, 42.8585, -48.2005, 70.5657, -168.209, 37.5144, 71.7951
0, 0.00000, 2510.63, -30.0144, 2510.46, -150.015, 2510.58, 89.989, 59.6966, -48.2026, 76.3606, -168.211, 45.3963, 71.7931
0, 0.00000, 2510.72, -30.0135, 2510.39, -150.021, 2510.41, 89.9884, 42.7697, -48.201, 104.953, -168.213, 56.714, 71.789
0, 0.00000, 2510.54, -30.0137, 2510.45, -150.024, 2510.14, 89.9795, 44.1272, -48.2069, 107.229, -168.211, 110.997, 71.7829
0, 0.00000, 2510.26, -30.0253, 2510.16, -150.026, 2510.22, 89.9765, 110.046, -48.2145, 121.611, -168.216, 103.943, 71.7794
0, 0.00000, 2510.68, -30.0179, 2510.18, -150.027, 2510.27, 89.9863, 55.6405, -48.2048, 142.298, -168.218, 65.0429, 71.7839
0, 0.00000, 2511.04, -30.0268, 2509.37, -150.053, 2509.8, 89.9903, 44.2415, -48.1974, 310.919, -168.236, 47.6502, 71.7764
0, 0.00000, 2510.94, -30.0386, 2508.65, -150.089, 2508.72, 89.9729, 48.4217, -48.1976, 488.801, -168.259, 156.224, 71.7758
0, 0.00000, 2510.58, -30.0247, 2509.83, -150.044, 2509.77, 89.9772, 66.783, -48.1901, 222.788, -168.239, 118.308, 71.7866
0, 0.00000, 2510.91, -30.0245, 2509.6, -150.047, 2509.9, 89.9879, 48.4977, -48.1913, 263.625, -168.234, 59.9689, 71.7759
0, 0.00000, 2510.69, -30.0241, 2509.79, -150.042, 2509.88, 89.9817, 61.7195, -48.1942, 225.321, -168.233, 92.1881, 71.7811
0, 0.00000, 2510.55, -30.0239, 2509.98, -150.032, 2510.18, 89.983, 82.9678, -48.2039, 167.481, -168.225, 75.2798, 71.7823
0, 0.00000, 2510.58, -30.0129, 2510.5, -150.02, 2510.31, 89.9832, 45.5755, -48.2002, 90.0179, -168.214, 87.4115, 71.7885
0, 0.00000, 2510.51, -30.0256, 2509.89, -150.038, 2509.94, 89.9785, 81.9098, -48.2036, 196.908, -168.233, 103.967, 71.7819
0, 0.00000, 2510.3, -30.0585, 2508.36, -150.081, 2509.19, 89.9688, 186.398, -48.2109, 449.174, -168.269, 127.12, 71.7614
0, 0.00000, 2510, -30.0288, 2510.03, -150.044, 2509.45, 89.9578, 108.476, -48.2112, 186.077, -168.233, 220.409, 71.7626
0, 0.00000, 2510.06, -30.0234, 2510.23, -150.041, 2509.45, 89.958, 84.4969, -48.2062, 161.903, -168.233, 228.485, 71.7698
0, 0.00000, 2510.68, -30.03, 2509.47, -150.054, 2509.6, 89.9783, 72.4917, -48.202, 290.951, -168.243, 110.449, 71.7806
0, 0.00000, 2510.16, -30.0335, 2509.78, -150.04, 2509.86, 89.9699, 131.807, -48.2148, 195.951, -168.236, 137.16, 71.7783
0, 0.00000, 2510.2, -30.0301, 2509.91, -150.038, 2509.88, 89.9704, 117.556, -48.2037, 178.478, -168.238, 139.254, 71.7767
0, 0.00000, 2510.2, -30.0222, 2510.2, -150.039, 2509.59, 89.9637, 75.9206, -48.2051, 163.28, -168.231, 196.527, 71.7696
0, 0.00000, 2510.62, -30.0228, 2509.9, -150.041, 2509.83, 89.9787, 59.8153, -48.2005, 210.291, -168.23, 111.212, 71.7747
0, 0.00000, 2510.34, -30.0407, 2509.35, -150.046, 2510, 89.9785, 152.11, -48.2116, 254.258, -168.242, 76.9098, 71.7757
0, 0.00000, 2510.84, -30.0337, 2509.18, -150.059, 2509.64, 89.984, 76.496, -48.207, 337.537, -168.248, 74.179, 71.7777
0, 0.00000, 2510.74, -30.0302, 2509.32, -150.065, 2509.24, 89.9741, 53.0252, -48.2025, 344.837, -168.25, 144.566, 71.7764
0, 0.00000, 2510.79, -30.0246, 2509.73, -150.041, 2510.02, 89.9867, 62.8941, -48.2001, 228.591, -168.233, 61.4203, 71.7836
0, 0.00000, 2510.85, -30.0261, 2509.58, -150.046, 2509.91, 89.9871, 59.096, -48.1971, 261.378, -168.237, 61.1461, 71.7829
0, 0.00000, 2510.55, -30.0364, 2509.38, -150.046, 2510.02, 89.9834, 122.92, -48.2005, 260.078, -168.246, 58.704, 71.7817
0, 0.00000, 2509.8, -30.0467, 2509.49, -150.041, 2509.95, 89.9652, 210.065, -48.2241, 204.023, -168.244, 135.746, 71.7681
0, 0.00000, 2510.09, -30.0273, 2510, -150.048, 2509.32, 89.9577, 91.2214, -48.217, 205.947, -168.228, 228.484, 71.758
0, 0.00000, 2510.16, -30.0353, 2509.68, -150.044, 2509.76, 89.9688, 134.181, -48.2138, 217.859, -168.238, 143.527, 71.7667
0, 0.00000, 2510.11, -30.0325, 2509.78, -150.048, 2509.51, 89.9626, 116.644, -48.2103, 221.617, -168.242, 188.404, 71.7732
0, 0.00000, 2510.14, -30.0283, 2510, -150.04, 2509.71, 89.9656, 107.493, -48.2116, 177.93, -168.232, 172.835, 71.7692
0, 0.00000, 2509.99, -30.0397, 2509.7, -150.036, 2510.1, 89.9707, 177.176, -48.2155, 176.999, -168.24, 114.028, 71.7772
0, 0.00000, 2510.53, -30.0206, 2510.14, -150.031, 2510.09, 89.9799, 68.7663, -48.2027, 152.806, -168.226, 99.2618, 71.7861
0, 0.00000, 2510.47, -30.016, 2510.45, -150.019, 2510.36, 89.9818, 66.7658, -48.2032, 85.0454, -168.217, 87.1384, 71.7898
0, 0.00000, 2510.61, -30.0137, 2510.47, -150.017, 2510.45, 89.9863, 53.1803, -48.2016, 83.0585, -168.213, 64.866, 71.7926
0, 0.00000, 2510.72, -30.01, 2510.57, -150.015, 2510.51, 89.9894, 34.1623, -48.1994, 72.468, -168.209, 53.3644, 71.7943
