hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 0.00000, 2508.35, -30.0838, 2509.22, -150.015, 2511, 89.9535, 491.697, -48.2392, 64.7601, -168.248, 95.0007, 71.7858
0, 0.00000, 2508.88, -30.0682, 2509.51, -150.013, 2511.01, 89.9635, 398.037, -48.2327, 58.0629, -168.239, 69.6215, 71.7899
0, 0.00000, 2509.17, -30.0572, 2509.78, -150.011, 2510.97, 89.9676, 335.813, -48.229, 44.3011, -168.231, 68.5275, 71.7911
0, 0.00000, 2509.17, -30.0597, 2509.64, -150.014, 2510.91, 89.9676, 342.131, -48.2298, 67.3912, -168.235, 66.6243, 71.7894
0, 0.00000, 2509.28, -30.0544, 2509.79, -150.013, 2510.89, 89.9685, 314.413, -48.2274, 55.1697, -168.231, 71.5142, 71.7896
0, 0.00000, 2509.4, -30.0505, 2509.87, -150.012, 2510.88, 89.9707, 290.966, -48.2269, 53.4497, -168.229, 66.9814, 71.7905
0, 0.00000, 2509.4, -30.0513, 2509.84, -150.012, 2510.9, 89.9711, 294.996, -48.2258, 55.3507, -168.229, 63.0859, 71.791
0, 0.00000, 2509.22, -30.0559, 2509.79, -150.011, 2510.95, 89.9683, 326.437, -48.227, 48.0143, -168.231, 68.0729, 71.7909
0, 0.00000, 2509.61, -30.045, 2509.94, -150.014, 2510.81, 89.9737, 253.235, -48.2232, 63.3219, -168.227, 63.9868, 71.79
0, 0.00000, 2509.57, -30.0456, 2509.95, -150.013, 2510.83, 89.9731, 259.526, -48.2233, 56.7107, -168.226, 65.1656, 71.7904
0, 0.00000, 2508.96, -30.0659, 2509.55, -150.014, 2510.97, 89.9643, 382.4, -48.2274, 62.1371, -168.238, 70.8875, 71.7894
0, 0.00000, 2509.14, -30.0638, 2509.47, -150.018, 2510.87, 89.9669, 357.645, -48.2288, 91.5512, -168.239, 64.9932, 71.7878
0, 0.00000, 2507.92, -30.1051, 2508.64, -150.02, 2511.15, 89.9495, 607.087, -48.2383, 104.204, -168.264, 74.6283, 71.7858
0, 0.00000, 2507.92, -30.0972, 2508.91, -150.023, 2510.81, 89.9421, 563.225, -48.257, 95.5345, -168.259, 137.579, 71.7765
0, 0.00000, 2505.97, -30.1731, 2507.1, -150.037, 2511.12, 89.9147, 991.566, -48.2721, 192.033, -168.31, 140.113, 71.7692
0, 0.00000, 2507.1, -30.1376, 2507.66, -150.047, 2510.5, 89.9255, 756.253, -48.2589, 237.025, -168.294, 166.312, 71.76
0, 0.00000, 2505.67, -30.1597, 2507.82, -150.033, 2510.64, 89.8959, 942.043, -48.3293, 115.516, -168.294, 273.217, 71.7565
0, 0.00000, 2506.52, -30.1287, 2508.53, -150.027, 2510.55, 89.909, 765.266, -48.2847, 79.9727, -168.274, 261.921, 71.7615
0, 0.00000, 2506.39, -30.146, 2507.99, -150.024, 2511.11, 89.9189, 861.859, -48.2731, 99.5877, -168.285, 162.92, 71.7729
0, 0.00000, 2507.53, -30.0948, 2509.19, -150.028, 2510.23, 89.9219, 556.372, -48.2608, 80.7123, -168.256, 264.004, 71.7651
0, 0.00000, 2507.8, -30.1047, 2508.48, -150.046, 2510.07, 89.9289, 567.769, -48.2549, 205.232, -168.269, 218.942, 71.7581
0, 0.00000, 2508.17, -30.0886, 2509.03, -150.028, 2510.51, 89.9417, 501.779, -48.2524, 118.791, -168.256, 164.437, 71.7707
0, 0.00000, 2508.38, -30.0872, 2508.86, -150.038, 2510.24, 89.9425, 470.147, -48.2458, 176.995, -168.259, 172.927, 71.764
0, 0.00000, 2506.98, -30.1297, 2508.19, -150.03, 2510.84, 89.9261, 749.412, -48.2666, 131.34, -168.28, 163.427, 71.7698
0, 0.00000, 2505.93, -30.1615, 2507.67, -150.026, 2511.16, 89.9115, 953.53, -48.2838, 108.798, -168.293, 173.263, 71.7712
0, 0.00000, 2506.97, -30.123, 2508.47, -150.028, 2510.67, 89.9213, 718.477, -48.2678, 106.192, -168.271, 204.493, 71.7667
0, 0.00000, 2506.97, -30.122, 2508.57, -150.021, 2510.91, 89.9249, 724.9, -48.2834, 73.2665, -168.269, 179.267, 71.7725
0, 0.00000, 2506.65, -30.1261, 2508.58, -150.025, 2510.67, 89.9138, 751.516, -48.2752, 72.5471, -168.271, 237.094, 71.7691
0, 0.00000, 2507.62, -30.1068, 2508.74, -150.022, 2510.92, 89.9385, 623.977, -48.2574, 91.0902, -168.262, 135.604, 71.7771
0, 0.00000, 2507.73, -30.1042, 2508.81, -150.017, 2511.09, 89.9435, 613.619, -48.2522, 74.3487, -168.26, 108.702, 71.7828
0, 0.00000, 2506.16, -30.1599, 2507.64, -150.021, 2511.48, 89.9223, 945.176, -48.2793, 102.102, -168.293, 109.941, 71.7811
0, 0.00000, 2507.04, -30.1217, 2508.5, -150.025, 2510.79, 89.9249, 713.793, -48.2774, 97.5207, -168.272, 183.959, 71.7702
0, 0.00000, 2507.04, -30.1238, 2508.26, -150.041, 2510.25, 89.9167, 698.409, -48.2901, 172.385, -168.279, 241.724, 71.7558
0, 0.00000, 2506.09, -30.1517, 2507.85, -150.035, 2510.65, 89.9051, 884.225, -48.3028, 136.413, -168.293, 240.102, 71.759
0, 0.00000, 2503.78, -30.2171, 2506.58, -150.058, 2510.04, 89.8506, 1259.72, -48.3471, 212.402, -168.336, 429.592, 71.7234
0, 0.00000, 2505.77, -30.1715, 2507.02, -150.064, 2509.91, 89.8895, 947.916, -48.3065, 287.619, -168.32, 313.525, 71.7333
0, 0.00000, 2506.16, -30.1651, 2507.06, -150.06, 2510.13, 89.9017, 906.985, -48.3023, 288.055, -168.317, 254.559, 71.743
0, 0.00000, 2504.23, -30.2278, 2505.96, -150.052, 2510.94, 89.8794, 1306.51, -48.3059, 249.964, -168.346, 234.93, 71.7502
0, 0.00000, 2504.79, -30.1923, 2507.02, -150.046, 2510.49, 89.8783, 1117.77, -48.3152, 179.255, -168.32, 314.371, 71.743
0, 0.00000, 2505.16, -30.174, 2507.51, -150.043, 2510.33, 89.8808, 1017.23, -48.3081, 150.081, -168.307, 337.537, 71.7461
0, 0.00000, 2506.2, -30.1573, 2507.46, -150.047, 2510.44, 89.9058, 888.423, -48.2874, 211.801, -168.306, 235.493, 71.752
0, 0.00000, 2505.86, -30.1694, 2507.11, -150.057, 2510.16, 89.8954, 944.464, -48.2982, 261.191, -168.318, 278.06, 71.7434
0, 0.00000, 2506.86, -30.1434, 2507.51, -150.054, 2510.23, 89.9164, 782.234, -48.2823, 263.897, -168.304, 212.923, 71.7504
0, 0.00000, 2506.34, -30.1512, 2507.66, -150.041, 2510.59, 89.9104, 862.475, -48.2822, 181.712, -168.299, 216.415, 71.7566
