hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 0.00000, 2509.32, -30.0418, 2509.97, -150.042, 2509.4, 89.9424, 201.134, -48.3162, 155.806, -168.193, 278.239, 71.751
0, 0.00000, 2509.57, -30.0384, 2510.05, -150.032, 2509.89, 89.9559, 192.628, -48.2839, 120.702, -168.223, 197.747, 71.7785
0, 0.00000, 2509.84, -30.0291, 2510.25, -150.029, 2509.9, 89.9609, 139.581, -48.2761, 109.243, -168.196, 187.624, 71.7676
0, 0.00000, 2509.71, -30.0348, 2510.11, -150.029, 2509.99, 89.9605, 173.15, -48.2723, 113.093, -168.226, 177.04, 71.7787
0, 0.00000, 2509.81, -30.0278, 2510.33, -150.028, 2509.89, 89.9596, 136.852, -48.2867, 97.2567, -168.193, 196.481, 71.7779
0, 0.00000, 2509.9, -30.0285, 2510.27, -150.026, 2510.07, 89.9653, 140.158, -48.2648, 97.1233, -168.216, 160.209, 71.7803
0, 0.00000, 2509.97, -30.0287, 2510.2, -150.028, 2510.02, 89.9662, 134.56, -48.2591, 114.058, -168.214, 157.495, 71.7681
0, 0.00000, 2509.94, -30.0247, 2510.33, -150.032, 2509.72, 89.9597, 109.143, -48.2911, 119.707, -168.172, 207.075, 71.7535
0, 0.00000, 2510.11, -30.0262, 2510.22, -150.027, 2510.09, 89.9703, 118.676, -48.2452, 115.156, -168.219, 138.18, 71.7678
0, 0.00000, 2510.02, -30.0264, 2510.28, -150.025, 2510.11, 89.9686, 126.225, -48.2545, 98.8167, -168.221, 145.559, 71.7786
0, 0.00000, 2510.11, -30.0335, 2509.78, -150.044, 2509.65, 89.9651, 127.029, -48.2152, 209.64, -168.189, 168.583, 71.6831
0, 0.00000, 2509.79, -30.0337, 2510.04, -150.037, 2509.71, 89.9577, 151.856, -48.2706, 150.987, -168.194, 203.442, 71.7382
0, 0.00000, 2509.43, -30.0429, 2509.65, -150.065, 2508.67, 89.9336, 167.062, -48.312, 264.138, -168.15, 347.931, 71.6765
0, 0.00000, 2509.51, -30.0509, 2509.28, -150.067, 2508.9, 89.9415, 200.743, -48.2631, 300.813, -168.193, 287.086, 71.6505
0, 0.00000, 2507.68, -30.0987, 2508.38, -150.088, 2508.19, 89.8938, 473.584, -48.3486, 362.924, -168.363, 474.634, 71.7384
0, 0.00000, 2508.07, -30.0718, 2509.25, -150.078, 2508.02, 89.8947, 339.985, -48.4158, 285.124, -168.24, 519.62, 71.7186
0, 0.00000, 2507.76, -30.0451, 2510.29, -150.097, 2506.28, 89.8518, 188.996, -48.5883, 267.541, -168.021, 842.012, 71.6453
0, 0.00000, 2508.98, -30.055, 2509.27, -150.085, 2507.93, 89.913, 211.844, -48.3386, 345.822, -168.187, 458.876, 71.64
0, 0.00000, 2509.24, -30.0681, 2508.64, -150.083, 2508.61, 89.934, 270.576, -48.2041, 392.477, -168.289, 307.542, 71.6362
0, 0.00000, 2509.54, -30.0614, 2508.73, -150.08, 2508.73, 89.9422, 230.403, -48.2295, 389.42, -168.265, 272.88, 71.6439
0, 0.00000, 2509.32, -30.0678, 2508.57, -150.086, 2508.52, 89.9345, 260.455, -48.2943, 413.945, -168.273, 308.484, 71.6952
0, 0.00000, 2509.18, -30.0549, 2509.44, -150.055, 2509.21, 89.9389, 251.363, -48.3145, 233.235, -168.265, 281.846, 71.7612
0, 0.00000, 2509.15, -30.0571, 2509.34, -150.058, 2509.16, 89.9379, 259.662, -48.3028, 247.515, -168.25, 284.997, 71.7347
0, 0.00000, 2509.13, -30.067, 2508.69, -150.088, 2508.31, 89.9261, 261.478, -48.2653, 402.899, -168.215, 360.092, 71.5997
0, 0.00000, 2509.19, -30.0782, 2508, -150.114, 2507.7, 89.9203, 273.723, -48.2012, 548.62, -168.207, 393.889, 71.4906
0, 0.00000, 2508.5, -30.077, 2508.87, -150.069, 2508.84, 89.9206, 364.216, -48.3204, 296.579, -168.303, 351.021, 71.7285
0, 0.00000, 2508.89, -30.0637, 2509.1, -150.074, 2508.56, 89.9229, 276.777, -48.3196, 311.994, -168.257, 371.94, 71.6939
0, 0.00000, 2508.3, -30.0839, 2508.77, -150.066, 2509.04, 89.9203, 411.859, -48.3091, 281.374, -168.366, 334.029, 71.7716
0, 0.00000, 2508.88, -30.0579, 2509.5, -150.056, 2509.04, 89.929, 275.984, -48.3373, 220.23, -168.257, 332.702, 71.754
0, 0.00000, 2509.37, -30.0546, 2509.27, -150.061, 2509.13, 89.9425, 233.936, -48.2535, 273.725, -168.252, 267.232, 71.6881
0, 0.00000, 2507.98, -30.0608, 2509.74, -150.077, 2507.66, 89.8835, 290.375, -48.5734, 244.029, -168.128, 606.12, 71.7805
0, 0.00000, 2508.67, -30.069, 2509.07, -150.07, 2508.69, 89.9205, 316.632, -48.3248, 292.421, -168.268, 370.416, 71.7085
0, 0.00000, 2507.92, -30.0749, 2509.34, -150.067, 2508.43, 89.898, 378.971, -48.4119, 231.638, -168.257, 482.631, 71.7567
0, 0.00000, 2507.4, -30.0858, 2509.24, -150.067, 2508.39, 89.8866, 453.381, -48.4505, 214.928, -168.279, 523.52, 71.7988
0, 0.00000, 2505.72, -30.1213, 2508.47, -150.114, 2506.44, 89.8197, 617.948, -48.6379, 372.889, -168.252, 871.768, 71.7642
0, 0.00000, 2506.74, -30.1035, 2508.72, -150.093, 2507.45, 89.8586, 524.376, -48.5206, 321.174, -168.253, 669.528, 71.7445
0, 0.00000, 2507.33, -30.1002, 2508.47, -150.095, 2507.72, 89.8777, 483.441, -48.4383, 368.229, -168.245, 569.417, 71.701
0, 0.00000, 2505.78, -30.1264, 2508.37, -150.101, 2507.14, 89.8339, 662.744, -48.5214, 332.984, -168.175, 767.252, 71.7156
0, 0.00000, 2507.57, -30.1091, 2507.73, -150.122, 2507.14, 89.8767, 475.967, -48.3645, 528.399, -168.256, 582.01, 71.5721
0, 0.00000, 2507.16, -30.0821, 2509.21, -150.101, 2506.81, 89.8538, 389.888, -48.5066, 332.487, -168.147, 752.22, 71.6678
0, 0.00000, 2507.45, -30.1025, 2508.44, -150.081, 2508.39, 89.8919, 511.954, -48.3764, 324.723, -168.363, 470.372, 71.7659
0, 0.00000, 2507.02, -30.1017, 2508.63, -150.092, 2507.64, 89.8684, 506.842, -48.4479, 334.137, -168.297, 616.421, 71.725
0, 0.00000, 2507.13, -30.0946, 2509.09, -150.065, 2508.55, 89.8843, 510.655, -48.4581, 206.848, -168.318, 514.734, 71.8254
0, 0.00000, 2507.83, -30.0819, 2508.96, -150.084, 2507.95, 89.8898, 390.403, -48.4348, 315.392, -168.239, 530.371, 71.7152
0, 0.00000, 2508.02, -30.0732, 2509.28, -150.074, 2508.2, 89.8966, 356.486, -48.4452, 264.627, -168.227, 500.984, 71.7484
0, 0.00000, 2508.1, -30.0655, 2509.59, -150.066, 2508.32, 89.8988, 327.093, -48.4538, 218.094, -168.194, 497.934, 71.7587
0, 0.00000, 2508.5, -30.0545, 2509.91, -150.051, 2508.86, 89.9152, 281.811, -48.4201, 156.604, -168.206, 414.054, 71.7896
0, 0.00000, 2508.99, -30.0465, 2509.94, -150.048, 2509.08, 89.9296, 227.837, -48.3712, 164.752, -168.185, 346.514, 71.7622
0, 0.00000, 2509.54, -30.0345, 2510.12, -150.041, 2509.37, 89.9458, 158.179, -48.3204, 150.473, -168.165, 274.18, 71.7407
0, 0.00000, 2509.52, -30.0274, 2510.43, -150.038, 2509.27, 89.9418, 128.929, -48.3662, 116.34, -168.128, 309.699, 71.7656
0, 0.00000, 2509.85, -30.0275, 2510.3, -150.03, 2509.81, 89.9593, 129.516, -48.2887, 110.138, -168.191, 201.44, 71.767
0, 0.00000, 2509.99, -30.0252, 2510.31, -150.029, 2509.91, 89.9642, 114.992, -48.2681, 110.017, -168.195, 177.072, 71.7616
0, 0.00000, 2509.68, -30.0346, 2510.15, -150.028, 2510.02, 89.9602, 175.88, -48.2731, 103.019, -168.247, 177.899, 71.798
0, 0.00000, 2509.51, -30.0413, 2510.02, -150.026, 2510.16, 89.9596, 218.135, -48.2585, 98.6771, -168.298, 165.051, 71.8263
0, 0.00000, 2509.44, -30.0424, 2509.97, -150.032, 2509.92, 89.954, 217.325, -48.2699, 120.157, -168.283, 199.896, 71.8062
0, 0.00000, 2509.32, -30.0421, 2510.07, -150.03, 2509.87, 89.9499, 222.52, -48.3018, 104.07, -168.272, 222.649, 71.8254
0, 0.00000, 2509.46, -30.0396, 2510.06, -150.032, 2509.83, 89.9525, 201.502, -48.2891, 118.125, -168.264, 215.368, 71.807
0, 0.00000, 2509.38, -30.0436, 2509.95, -150.032, 2509.88, 89.9522, 223.922, -48.2834, 122.256, -168.28, 208.216, 71.813
0, 0.00000, 2509.62, -30.0373, 2510.08, -150.028, 2510.02, 89.9593, 190.592, -48.2641, 108.248, -168.269, 177.503, 71.8048
0, 0.00000, 2509.86, -30.0269, 2510.34, -150.028, 2509.9, 89.9611, 129.612, -48.2805, 99.7529, -168.209, 190.409, 71.7782
