hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 0.00000, 2509.81, -30.0396, 2509.81, -150.036, 2509.95, 89.9636, 183.123, -48.2054, 162.176, -168.254, 155.215, 71.7845
0, 0.00000, 2510.01, -30.0334, 2509.96, -150.031, 2510.08, 89.9696, 151.252, -48.2008, 143.72, -168.242, 130.371, 71.7769
0, 0.00000, 2510.05, -30.0323, 2510.03, -150.026, 2510.28, 89.9736, 153.281, -48.2012, 120.72, -168.246, 104.792, 71.7914
0, 0.00000, 2510.15, -30.0327, 2509.92, -150.03, 2510.22, 89.9753, 145.145, -48.192, 147.768, -168.244, 97.5519, 71.7763
0, 0.00000, 2510.09, -30.0286, 2510.14, -150.027, 2510.17, 89.9719, 131.697, -48.2205, 117.939, -168.228, 123.44, 71.7911
0, 0.00000, 2510.17, -30.0298, 2510.08, -150.024, 2510.38, 89.9776, 139.911, -48.1992, 114.744, -168.242, 85.3379, 71.7876
0, 0.00000, 2510.3, -30.0304, 2509.94, -150.027, 2510.38, 89.9812, 133.125, -48.1789, 140.071, -168.246, 65.9707, 71.7782
0, 0.00000, 2510.05, -30.0347, 2509.96, -150.024, 2510.44, 89.9767, 168.9, -48.1849, 117.885, -168.262, 79.5597, 71.7968
0, 0.00000, 2510.29, -30.0263, 2510.14, -150.023, 2510.39, 89.9802, 118.9, -48.1974, 112.476, -168.233, 77.2754, 71.7829
0, 0.00000, 2510.32, -30.0262, 2510.13, -150.023, 2510.42, 89.9812, 117.724, -48.1977, 113.83, -168.233, 71.4785, 71.7853
0, 0.00000, 2510.13, -30.0324, 2510.02, -150.021, 2510.51, 89.9794, 158.012, -48.1944, 108.954, -168.251, 66.5179, 71.7948
0, 0.00000, 2510.22, -30.0383, 2509.61, -150.035, 2510.25, 89.9789, 162.709, -48.1728, 189.742, -168.256, 69.5119, 71.7731
0, 0.00000, 2509.52, -30.0686, 2508.74, -150.052, 2510, 89.9639, 312.363, -48.1213, 284.005, -168.301, 104.992, 71.7628
0, 0.00000, 2509.94, -30.0583, 2508.74, -150.065, 2509.51, 89.9644, 224.013, -48.1755, 349.825, -168.25, 137.463, 71.7026
0, 0.00000, 2509.03, -30.0734, 2508.71, -150.067, 2509.22, 89.9396, 330.492, -48.2275, 320.742, -168.267, 248.196, 71.7456
0, 0.00000, 2508.81, -30.0866, 2508.37, -150.064, 2509.56, 89.9428, 408.858, -48.2506, 325.073, -168.298, 197.725, 71.793
0, 0.00000, 2508.11, -30.1268, 2507.16, -150.077, 2509.79, 89.9377, 616.051, -48.1819, 423.806, -168.413, 150.379, 71.77
0, 0.00000, 2508.71, -30.0959, 2508.17, -150.055, 2510.13, 89.9514, 474.533, -48.2005, 299.512, -168.357, 118.614, 71.7923
0, 0.00000, 2509.66, -30.061, 2508.89, -150.057, 2509.7, 89.9608, 261.518, -48.1852, 296.49, -168.27, 143.896, 71.73
0, 0.00000, 2509.28, -30.0684, 2508.96, -150.044, 2510.11, 89.9595, 332.748, -48.2167, 230.584, -168.274, 123.292, 71.7628
0, 0.00000, 2509.01, -30.0709, 2508.84, -150.065, 2509.22, 89.9385, 322.427, -48.2371, 302.388, -168.256, 257.794, 71.7393
0, 0.00000, 2509.4, -30.0477, 2509.69, -150.043, 2509.64, 89.9498, 227.696, -48.2412, 178.353, -168.246, 222.9, 71.7714
0, 0.00000, 2509.37, -30.0617, 2509.12, -150.048, 2509.81, 89.9551, 289.388, -48.2147, 237.92, -168.281, 166.932, 71.7723
0, 0.00000, 2509.34, -30.0766, 2508.38, -150.069, 2509.47, 89.9525, 332.018, -48.1692, 363.327, -168.297, 168.63, 71.7174
0, 0.00000, 2508.57, -30.1005, 2507.95, -150.069, 2509.62, 89.9407, 479.197, -48.1561, 361.13, -168.384, 183.776, 71.7666
0, 0.00000, 2509.36, -30.0679, 2508.74, -150.065, 2509.38, 89.9495, 294.425, -48.2025, 323.769, -168.285, 201.325, 71.738
0, 0.00000, 2509.06, -30.0653, 2509.09, -150.058, 2509.35, 89.9406, 303.58, -48.2487, 261.79, -168.26, 251.535, 71.763
0, 0.00000, 2509.15, -30.0666, 2508.94, -150.063, 2509.26, 89.9418, 298.917, -48.1816, 294.243, -168.297, 246.338, 71.7497
0, 0.00000, 2509.34, -30.0565, 2509.35, -150.047, 2509.7, 89.9515, 266.758, -48.2143, 215.524, -168.278, 198.054, 71.774
0, 0.00000, 2509.72, -30.0475, 2509.52, -150.041, 2509.92, 89.9627, 216.976, -48.2011, 198.703, -168.264, 147.923, 71.7701
0, 0.00000, 2507.93, -30.1005, 2508.56, -150.047, 2510, 89.9298, 539.264, -48.1456, 208.648, -168.414, 224.668, 71.8581
0, 0.00000, 2509.25, -30.0646, 2508.93, -150.065, 2509.2, 89.9429, 281.881, -48.1955, 306.004, -168.277, 246.351, 71.7334
0, 0.00000, 2509.36, -30.0675, 2508.58, -150.083, 2508.67, 89.9379, 262.07, -48.2076, 403.736, -168.258, 286.855, 71.6916
0, 0.00000, 2509.28, -30.0765, 2508.3, -150.082, 2508.93, 89.9423, 312.569, -48.2174, 414.405, -168.273, 239.863, 71.7132
0, 0.00000, 2507.5, -30.1343, 2507.01, -150.102, 2508.61, 89.9045, 635.414, -48.2736, 501.341, -168.361, 347.81, 71.7511
0, 0.00000, 2507.93, -30.0918, 2508.55, -150.082, 2508.38, 89.9017, 438.801, -48.3183, 341.381, -168.283, 438.838, 71.7621
0, 0.00000, 2508.18, -30.1005, 2508.02, -150.087, 2508.66, 89.9148, 465.734, -48.2693, 404.91, -168.3, 349.073, 71.7333
0, 0.00000, 2507.36, -30.1075, 2508.03, -150.111, 2507.32, 89.8733, 490.749, -48.2841, 461.839, -168.324, 595.051, 71.7492
0, 0.00000, 2508.3, -30.1047, 2507.58, -150.108, 2508.04, 89.9089, 446.967, -48.2129, 520.654, -168.323, 394.776, 71.7092
