hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 0.00000, 3.43968, 1.41575, 2.3282, 1.16643, 3.10017, 0.328474, 0, 0
0, 0.00000, 4.68645, 0.644581, 3.75488, 2.33679, 2.75546, 0.684553, 0, 0
0, 0.00000, 4.28638, 0.982466, 3.38444, 1.88353, 3.05536, 0.652221, 0, 0
0, 0.00000, 7.04719, 0.303212, 6.55264, 3.76983, 3.79788, 1.61017, 0, 0
0, 0.00000, 7.10778, 1.46181, 4.98327, 3.36065, 4.40212, 0.572427, 0, 0
0, 0.00000, 4.77989, 1.20145, 4.37009, 1.90285, 3.96771, 1.19756, 0, 0
0, 0.00000, 4.89917, 2.0861, 6.2743, 0.98865, 6.53643, 2.7276, 0, 0
0, 0.00000, 5.46209, 0.544319, 5.09161, 2.71335, 3.39852, 1.30896, 0, 0
0, 0.00000, 3.89308, 1.46864, 3.78636, 1.1696, 4.09874, 1.22659, 0, 0
0, 0.00000, 5.93476, 0.953225, 6.38576, 2.52103, 4.8022, 2.12854, 0, 0
0, 0.00000, 5.02474, 1.35314, 8.25783, 1.16034, 6.8062, 4.05641, 0, 0
0, 0.00000, 4.3926, 0.582901, 5.40377, 1.81142, 3.83378, 2.07336, 0, 0
0, 0.00000, 5.07356, 0.902187, 5.67177, 2.05586, 4.37322, 1.99763, 0, 0
0, 0.00000, 5.92724, 0.93082, 4.77762, 2.8705, 3.67308, 0.905981, 0, 0
0, 0.00000, 4.38765, 1.44139, 3.96931, 1.52633, 4.10508, 1.12161, 0, 0
0, 0.00000, 4.89254, 1.46835, 4.35132, 1.81151, 4.32497, 1.17139, 0, 0
0, 0.00000, 5.25021, 1.5193, 6.25886, 1.64579, 5.64444, 2.45609, 0, 0
0, 0.00000, 4.67873, 1.41818, 6.18796, 1.29514, 5.53912, 2.66358, 0, 0
0, 0.00000, 5.2864, 1.91714, 5.20194, 1.62666, 5.49579, 1.69862, 0, 0
0, 0.00000, 8.56987, 2.16892, 7.89967, 3.38234, 7.18436, 2.19617, 0, 0
0, 0.00000, 9.56205, 3.41101, 8.33202, 3.19833, 9.1323, 2.23933, 0, 0
0, 0.00000, 9.08653, 2.7213, 7.31689, 3.52001, 7.51131, 1.58881, 0, 0
0, 0.00000, 8.03604, 2.62743, 8.22326, 2.59528, 8.15735, 2.77345, 0, 0
0, 0.00000, 8.19124, 2.17552, 8.65357, 2.93123, 7.76754, 2.95433, 0, 0
0, 0.00000, 8.11083, 3.7492, 8.3288, 1.86506, 9.85146, 2.99431, 0, 0
0, 0.00000, 8.2323, 3.59385, 7.07392, 2.32724, 8.75098, 1.95646, 0, 0
0, 0.00000, 6.17908, 2.11013, 6.35543, 1.93111, 6.42219, 2.17323, 0, 0
0, 0.00000, 5.91721, 1.65293, 6.10679, 2.0958, 5.62834, 2.03879, 0, 0
0, 0.00000, 7.26338, 1.68747, 7.04339, 2.89673, 6.10622, 2.10238, 0, 0
0, 0.00000, 6.91186, 1.78791, 6.56273, 2.66323, 5.97942, 1.92377, 0, 0
0, 0.00000, 7.18138, 2.65283, 5.75187, 2.44967, 6.64347, 1.3132, 0, 0
0, 0.00000, 9.29671, 2.5357, 7.16713, 3.8286, 7.11376, 1.33897, 0, 0
0, 0.00000, 4.84966, 1.52325, 4.80929, 1.64506, 4.72399, 1.54925, 0, 0
0, 0.00000, 4.20595, 0.59441, 4.45342, 1.86207, 3.23173, 1.44303, 0, 0
0, 0.00000, 2.96196, 0.643123, 4.01714, 0.974075, 3.20259, 1.7225, 0, 0
0, 0.00000, 3.10689, 0.406933, 3.82149, 1.28616, 2.70252, 1.46566, 0, 0
0, 0.00000, 3.97198, 0.147809, 4.39026, 1.9981, 2.57853, 1.43583, 0, 0
0, 0.00000, 3.85728, 0.170662, 2.9708, 2.19268, 1.66312, 0.414523, 0, 0
